Amharic	English	Afan Oromo
ገናን የማይወድ ሰው አላውቅም።	I don't know anyone who doesn't love Christmas.	Nama ayyaana qillee hin jaalanne hin beeku.
ይህን ብታይ ይሻልሃል።	You better see this.	Kana ilaaluuf dhuftee siif wayya.
ምናልባት እንደገና አሻሚ ነገር ሊናገር ይችላል።	Maybe he'll say something ambiguous again.	Ammas waan wal-xaxaa dubbachuu hin oolu.
ታክሲ ልጠራህ ትፈልጋለህ።	You want me to call you a taxi.	Taaksii akkan siif waamu barbaaddaa.
ያን ባታደርጉት ቅር ትላላችሁ።	You will be disappointed if you don't do that.	Akkas gochuu dhiisuutti ni mufattuu.
ቶም በሁሉም የማርያም አልበም ውስጥ በሁሉም ስእሎች ውስጥ ነበር።	Tom was in all the pictures in all of Mary's albums.	Toom suuraa albama Maariyam hunda keessa jira jechuun ni danda'ama ture.
ቆንጆ ለስላሳ አልጋ ላይ ብቻ መተኛት እፈልጋለሁ።	I just want to sleep in a nice soft bed.	Siree lallaafaa bareedaa irra ciisuu qofan barbaada.
እሷ ካናዳዊ ነች።	She is Canadian.	Isheen lammii Kanaadaati.
ወታደሮቹ ለመታገል ድፍረት አጥተዋል።	The soldiers lost courage to fight.	Loltoonni hamilee lola dhaban.
አንድ ቀን የጥጥ ከረሜላ ማሽን እገዛለሁ።	One day I will buy a cotton candy machine.	Gaaf tokko maashinii suufii karameellaa nan bita.
ይህንን ቤት የገዛሁት ከሶስት አመት በፊት ነው።	I bought this house three years ago.	Mana kana waggaa sadii duran bitadhe.
እዚያ አቁም።	Stop there.	Achumatti dhaabbadhaa.
መቀጣት አለባቸው።	They should be punished.	Adabamuu qabu.
መንሸራተት ትችላለች።	She can slide.	Isheen mucucaaccuu dandeessi.
አትክልት ሰጠኝ።	He gave me vegetables.	Kuduraa naaf fide.
ትኩስ ነገር ለመጠጣት እፈልጋለሁ።	I want to drink something fresh.	Waan ho'aa dhuguuf barbaada.
ጥሩ ስራ አለህ።	You have a great job.	Hojii gaarii qabda.
ለምን ፎቶ አትነሳም?	Why don't you take a picture?	Maaliif suuraa hin kaaftan?
ኮንትራቶች ቀድሞውኑ ድርድር ተደርጓል።	Contracts have already been negotiated.	Kontiraata irratti mariin taasifameera.
እሱ የሙት መንፈስ ፀሃፊ ነው።	He is a ghostwriter.	Inni barreessaa hafuuraati.
እባክህ ካልሲህን አውልቅ።	Please take off your socks.	shurraba caammaa kee baafadhu maaloo.
ለምን ያህል ጊዜ መቆየት እንደምችል አላውቅም።	I don't know how long I can stay.	Hanga yoomitti turuu akkan danda'u hin beeku.
ቶም የሚኖረው በቀድሞው ቤቴ ውስጥ ነው።	Tom lives in my old house.	Toom mana koo isa durii keessa jiraachaa jira.
በሽርሽር ላይ ምን ያህል ሰወች እንደሚኖሩ አላውቅም።	I don't know how many people will be at the picnic.	Namoonni meeqa piknikii kana irratti akka argaman yaada hin qabu.
ታማኝነት የጎደለህ ነህ።	You are dishonest.	Ati amanamaa miti.
ከመጨለሙ በፊት ሁሉም ልጆች ተኝተዋል።	All the children are asleep before dark.	Ijoolleen hundi osoo hin dukkanaa'in rafan.
በጣም የሚያስቅ ነገር አልገባኝም።	I don't understand what's so funny.	Dhuguma waan akkas nama kofalchiisu naaf hin galle.
ይህ ሁሉ ግርግር እየተፈጠረ ላይ ማተኮር አልችልም።	I can't concentrate with all this commotion going on.	Jeequmsa kana hunda waliin xiyyeeffachuu hin danda'u.
ጎበዝ ፀሃፊ ለመሆን ከፈለግክ ፅሁፍን መለማመድ አለብህ።	If you want to become a good writer, you must practice writing.	Barreessaa gaarii ta'uu yoo barbaadde barreessuu shaakaluu qabda.
ቤቴን አስይዘዋለሁ።	I will reserve my house.	Mana koo ajajeen ture.
ሁሌም ተመሳሳይ ነገር በመስማቴ ታምሜአለሁ።	I'm sick of hearing the same thing over and over again.	Yeroo hunda waanuma tokko dhaga'uun na dhukkubsa.
ያ መፅሃፍ ነው።	That's a book.	Sun kitaabadha.
ቶም ገና ከእረፍት ተመልሷል።	Tom has just returned from vacation.	Toom reefuu boqonnaa irraa deebi'eera.
ሌላ ነገር መሞከር አለብን።	We have to try something else.	Waan biraa yaaluun dirqama.
በእነዚህ ቀናት በጣም ብቸኝነት ይሰማኛል።	I feel so lonely these days.	Guyyoota kanatti baay'ee kophummaan natti dhagahama.
እስከ እኩለ ቀን ድረስ አልመጣም።	He didn't come until noon.	Hanga walakkaa guyyaatti hin dhufne.
ከጓደኞቸ አንድም አላጋጠመኝም።	I never met any of their friends.	Hiriyyoota koo tokkollee wal hin argine.
በእውነት መሄድ ካልፈለገ መሄድ የለበትም።	If he really doesn't want to go, he shouldn't go.	Yoo dhuguma deemuu hin barbaanne ta'e, deemuu hin qabu.
ቶም እንደ ሳንታ ለብሷል።	Tom is dressed as Santa.	Toom akka Saantaa uffatee jira.
ታላቅ ወንድሜ የቤት ስራውን በፍጥነት ጨረሰ።	My older brother finished his homework quickly.	Obboleessi koo guddaan hojii manaa isaa baayyee dafee xumure.
እንደገና ቶምን ሳምኩት።	I kissed Tom again.	Ammas Toomiin dhungadhe.
ሚሊየነር ብሆን እመኛለሁ።	I wish I was a millionaire.	Osoon miliyeenara ta'ee natti tola.
የቡልጋሪያውን ፔፐር ወደ ሁለት ኢንች ቁርጥራጮች ይቁረጡ።	Cut the bell pepper into two inch pieces.	Burtukaana Buulgaariyaa gara inchii lamaatti muraa.
አስቀድሜ እሄዳለሁ።	I'm already going.	Dursee nan deema.
ለመርዳት ለምን ተስማማህ?	Why did you agree to help?	Maaliif gargaaruuf walii galte?
ዛሬ በጣም አስቸጋሪ ጊዜ እያሳለፍኩ ነው።	I am having a very difficult time today.	Har'a yeroo baay'ee rakkisaa ta'ee dabarsaan jira.
ነገ ወደ ፊልሞች አልሄድም።	I'm not going to the movies tomorrow.	Boru fiilmii hin deemu.
እዚህ ፈረንሳይኛ መናገር የሚችለው ቶም ብቻ ነው ብለው ያስባሉ።	They think that only Tom can speak French here.	Dhuguma asitti kan afaan Faransaayii dubbachuu danda'u Toom qofa sitti fakkaataa.
ቶም ተስፋ አልቆረጠም።	Tom didn't give up.	Toom gonkumaa abdii hin kutanne.
ቶም ሰኞን አነሳ።	Tom picked up Monday.	Toom wiixata fuudhe.
ለተወሰነ ጊዜ ቤት አልነበርኩም።	I haven't been home for a while.	Yeroo muraasaaf mana hin geenye.
ቶም ከጥቂት ቀናት በፊት ስራውን እንደጨረሰ ለማርያም ነገራት።	Tom tells Mary that he finished his work a few days ago.	Toom guyyoota muraasa dura hojii kana akka xumure Maariyaamitti hime.
በዚህ አረፍተ ነገር አነጋገር ደስተኛ አይደለሁም።	I am not happy with the wording of this sentence.	Jechoota hima kanaatti guutummaatti hin gammadu.
ማርያም ክፍሏ ውስጥ እያጠናች ነው።	Mary is studying in her room.	Maariyaam kutaa ishee keessatti barachaa jirti.
ቶም የማርያም ባል የቅርብ ጓደኛ ነው።	Tom is Mary's husband's best friend.	Toom hiriyyaa dhiyoo abbaa warraa Maariyamidha.
ለአሁን ደህና ነኝ።	I'm fine for now.	Ammaaf gaarii dha.
በቸዝ የተሻለ መሆን እፈልጋለሁ።	I want to be better at cheese.	Cheezii irratti fooyya'uu barbaada.
አንዳንድ ጊዜ ይቅርታ ለመጠየቅ በጣም ዘግይቷል።	Sometimes it's too late to apologize.	Yeroo tokko tokko dhiifama gaafachuuf yeroon isaa darba.
በባህር ዳርቻ ላይ መራመድ እወዳለሁ።	I like to walk on the beach.	Qarqara galaanaa irra deemuu nan jaalladha.
ለምን ተቃወሙት?	Why are you against it?	Maaliif sagalee mormii kennite?
ፒያኖ አለኝ።	I have a piano.	Piyaanoo qaba.
ፈረንሳይኛ መናገር አልፈልግም ነበር።	I didn't want to speak French.	Afaan Faransaayii dubbachuu hin barbaanne.
የቀረው የት ነው?	Where is the rest?	Kan hafe eessa jira?
ታሞ ለመደወል ተፈተነኝ።	I was tempted to call in sick.	Dhukkubsataadhaan bilbiluuf qorameera.
ቶም እንደሚያሸንፍ እርግጠኛ ነው።	Tom is sure to win.	Toom injifachuun isaa hin oolu.
ሱሽ ይወዳሉ።	They like sushi.	Sushi ni jaallattuu.
ቶም የማይመች ጥያቄ ጠየቀ።	Tom asked an awkward question.	Toom gaaffii namatti hin tolle tokko gaafate.
ደስተኛ አደርግሃለሁ።	I will make you happy.	Si gammachiisa.
ከምወዳቸው ፊልሞች ውስጥ አንዱ ነው።	It's one of my favorite movies.	Fiilmii ani baay'ee jaalladhu keessaa tokko dha.
ቶም ብልጭ ድርግም አለ።	Tom blinked.	Toom ija isaa jaamse.
ኧረ አንድ ነገር ልንገርህ።	Oh, let me tell you something.	Heey mee waa tokkon sitti hima.
ቶም ትምህርት ቤት ዘለለ።	Tom skipped school.	Toom mana barumsaa darbe.
አሁን ያንን መገንዘብ አለብህ።	Now you have to realize that.	Ammatti kana hubachuu qabda.
ቶም ልጆች አሉት።	Tom has children.	Toom ijoollee qaba.
ከባድ ውድድር ነበር።	It was a tough competition.	Dorgommii cimaa ture.
እንደ ተነገረኝ አደረግሁ።	I did as I was told.	Akkuma natti himame godhe.
እርስወ እንድወስኑ ነው።	It is for you to decide.	Akka isin murteessitan.
ምንም አይነት ጥያቄ አይጠይቁ።	Do not ask any questions.	Gaaffii tokkollee hin gaafatinaa.
ምን እንደተፈጠረ አሁን አወቅሁ።	Now I know what happened.	Waan ta'aa jiru amman bare.
ከዚህ በኋላ እንደማታደርግ ቃል ገብተሃል።	You promised you wouldn't do it again.	Kana booda akkas akka hin goone waadaa galte.
ወፍ መመልከት ትወዳለች።	She likes bird watching.	Simbirroota ilaaluu ni jaallatti.
ቶም አሁንም ብቸኛ ነው ወይ ብየ አስባለሁ።	I wonder if Tom is still lonely.	Toom ammallee kophaa ta'ee jiraa jedheen yaada.
የምርመራወ ውጤት በጣም ጥሩ ነው።	ERROR: The read operation timed out.	Bu'aan qormaata keessanii baayyee gaarii dha.
ወላጆቻችንን መንከባከብ አለብን።	We have to take care of our parents.	Warra keenya ilaaluu qabna.
ማንም ትኩረት አልሰጣትም።	No one paid any attention to her.	Namni xiyyeeffannoo isheef kennu hin turre.
ቶም በእርግጠኝነት ፖሊስ ከሰጠን መግለጫ ጋር ይስማማል።	Tom certainly agrees with the description the police gave us.	Toom ibsa poolisiin nuuf kenne kanaan awalii gala.
ጊታርህ ከእኔ ይበልጣል።	Your guitar is better than mine.	Giitaarri kee kan koo caala.
ምን ለማለት እንደፈለክ ገባኝ።	I understand what you mean.	Waan jechuu barbaadde naaf galeera.
ሁልጊዜ ያልሙትን ቤት መግዛት ከቻሉስ።	What if you could buy the house you always dreamed of.	Mana yeroo hunda abjoottu sana osoo bitachuu dandeessee hoo.
መኪናየ በጎዳናው ላይ ቆሟል።	A car is parked on the street.	Konkolaataan koo karaa irra dhaabatee jira.
ከጠረጴዛው ስር ድመት አለ።	There is a cat under the table.	Minjaala jala adurreen jiraa.
እኔ ራሴ የሰራሁት ይህ የውሻ ቤት ነው።	This is a dog house that I made myself.	Kun mana saree ani ofii kootii tolchedha.
እኔ እምለው የነገርኩህ እውነት ነው።	I swear what I told you is true.	Wanni sitti hime dhugaadha.
ደም አፋሳሹ የአውሮፓ ግጭት አብቅቷል።	The bloody European conflict was over.	Waldhabdeen Awurooppaa dhiiga dhangalaase xumurame.
ምላሱን ተወጋ።	He pierced his tongue.	Arraba isaa waraane.
በረዶው መውደቁን ቀጠለ።	The snow continued to fall.	Cabbiin bu'uu itti fufe.
እኔ ለአንተ በጣም አርጅቻለሁ ብለህ ታስብ ይሆናል ነገር ግን ለእኔ በጣም ትንሽ ነህ ብየ አላስብም።	You may think I'm too old for you, but I don't think you're too young for me.	Tarii anarra dulloomte jettee yaadda ta'a, garuu ati anarra xiqqaadha jedhee hin yaadu.
መኪናውን የሚነዳው ወጣት ሰክሮ ነበር።	The young man driving the car was drunk.	Dargaggeessi konkolaataa oofaa ture machaa'ee ture.
ጥቁሩ ጃንጥላ የቶም ነው።	The black umbrella is Tom's.	Dibaabeen gurraachi kan Toomii ti.
ምን እያልክ ነው ቶም?	What are you saying, Tom?	Maal jechaa jirta Toom?
ሁሉም ተማሪወች ይገኛሉ።	All students are present.	Barattoonni hundi ni argamu.
የመማሪያ መፅሃፎቸን የሆነ ቦታ ትቸዋለሁ።	I leave the textbooks somewhere.	Kitaaba barnootaa koo bakka tokkotti dhiiseen ture.
በሚያሽከረክሩበት ጊዜ ሙዚቃ ያዳምጣሉ።	They listen to music while driving.	Osoo konkolaataa oofaa jiranii muuziqaa ni dhaggeeffattuu.
በቂ ገንዘብ ሰጥተሀኛል።	You gave me enough money.	Duraanis maallaqa gahaa naaf kenniteetta.
አንተን ለመርዳት ፍላጎት የለኝም።	I am not interested in helping you.	Si gargaaruuf fedha hin qabu.
ህይወት በጣም አጭር ነች።	Life is too short.	Jireenyi baay'ee gabaabdudha dha.
በአንተ እንደ ባሪያ መቆጠር አልፈልግም።	I don't want to be treated as a slave by you.	Siin akka garbaatti ilaalamuu nan dide.
ቁርስ የሚቀርበው መቸ ነው።	Breakfast is served.	Cireen yoom dhihaata.
ከቤቱ ጋር መለያየት ነበረበት።	He had to part with the house.	Mana isaa irraa adda bahuu qaba ture.
ለምንድን ነው ሁሉም ሰው በጣም ደስተኛ የሆነው?	Why is everyone so happy?	Maaliif namni hundi akkas gammada?
ቶም ለማርያም ነገረችው።	Tom told Mary.	Toom Maariyamitti hime.
ውሻየ በእግር መሄድ ያስፈልገዋል።	A dog needs to be walked.	Saree koo miilan deemuu barbaada.
በታሪኩ እንባ ተናነቀች።	She was moved to tears by the story.	Seenaa kanaan imimmaan ishee dhangalaaste.
እኔና ሜሪ ጥሩ ጓደኞች ሆንን።	Mary and I became good friends.	Aniifi Maariyaam hiriyaa gaarii taane.
ያ የእኛ ስራ አይደለም።	That's not our job.	Sun hojii keenya miti.
ወደዚያ ባትመለስ ይሻልሃል።	You better not go back there.	Achitti deebi'uu dhiisuu siif wayya.
ነገሮችን አበላሽቻለሁ፣ የምወጣው ጉድጓድ ባገኝ እመኛለሁ።	I messed things up, I wish I had a hole to climb out of.	waan baay'ee balleessera, boollan lixu utuun argadhee natti tola.
የምትጠጣውን ነገር አመጣልሃለሁ።	I will bring you something to drink.	Waan dhugdu siif fida.
በስልክ ከእሱ ጋር መገናኘት እንደምችል እርግጠኛ ነኝ።	I'm sure I can get in touch with him on the phone.	Bilbilaan isa qunnamuu akkan danda'u mirkanaa'adha.
ቶምን ለማሳመን ጊዜህን አታጥፋ።	Don't waste your time trying to convince Tom.	Toomin amansiisuuf yeroo hin gubin.
ውሻ ነከሰኝ።	A dog bit me.	Sareen tokko na ciniinee.
በትክክል ይጣፍጣል።	It tastes really good.	Mi'aan isaa sirrii dha.
መኪና ይቅርና ብስክሌት የለኝም።	I don't have a bike let alone a car.	Konkolaataa dhiisii biskileetii hin qabu.
ቶም ትናንት የት ሄደ?	Where did Tom go yesterday?	Toom kaleessa eessa dhaqe?
ቤት ውስጥ ከምቆይ መውጣት እመርጣለሁ።	I'd rather go out than stay at home.	Mana keessa turuu mannaa bahuun naaf wayya.
መንገዱን ሲያቋርጡ ይጠንቀቁ።	Be careful when crossing the road.	Yeroo karaa qaxxaamurtan of eeggannoo godhaa.
ያ ከእውነታው የራቀ ነው።	That is unrealistic.	Sun dhugaa waan fagaatedha.
እባክህ እንደዛ መዞርህን አቁመህ ለአንድ ሰከንድ ተቀመጥ።	Please stop walking around like that and sit down for a second.	Maaloo akkasitti naanna'uu dhiisii sekondii tokkoof qofa taa'i.
ተኝተህ ሳለ መፅሃፍ አነባለሁ።	I read a book while you sleep.	Osoo ati raftee kitaaban dubbisa.
ቶም ያግኙ።	Find Tom.	Toomii barbaadi.
መዋኘት ያልቻለ ይመስላል።	It looks like he can't swim.	Daakaa waanan dadhabe fakkaata.
