Amharic,Oromo,English
እነሱ እኛን ይመስላሉ።,Isaan nu fakkaatu.,They look like us.
ይህን ሽህ ጊዜ አድርጌዋለሁ።,Yeroo kuma tokko kana godheera.,I've done this a long time.
ይህን ታሪክ ከዚህ በፊት ነግረሀኝ ነበር።,Seenaa kana kanaan duras natti himteetta.,You told me this story before.
ከጓደኞቸ መካከል ችሎታ ያለው እሱ ብቻ ነው።,Hiriyyoota koo keessaa kan dandeettii qabu isa qofa.,He is the only one with talent among their friends.
ወደ መርከቡ እንመለሳለን።,Gara doonii sanaatti deebi'aa jirra.,We will return to the ship.
ለፒዛ አመሰግናለሁ።,Piizaa kanaaf galatoomaa.,Thanks for the pizza.
የእኛ ቁጥር አንድ ቅድሚያ የሚሰጠው ይህ ነው።,Sun aantummaa keenya lakkoofsa tokkoodha.,This is our number one priority.
በእውነቱ ያንን ለማድረግ እንደወሰንኩ አላስታውስም።,Dhugumatti akkas gochuuf murteessuu koo hin yaadadhu.,I don't remember actually deciding to do that.
ለመዋኛ መሄድ ትፈልጋለህ።,Daakaadhaaf deemuu barbaaddaa.,You want to go swimming.
ከእኔ በቀር ማንም አያውቅም።,Ana malee namni beeku hin jiru.,No one knows but me.
በጭኑ ላይ የእንሽላሊት ንቅሳት አላት።,Tattoo saree qoma ishee irratti qabdi.,She has a tattoo of a lizard on her thigh.
እባክወን ለቤተሰብወ ሰላም ይበሉ።,Mee maatii keessaniin nagaa jedhaa.,Please say hello to the family.
ግላድያተሮች በኮሎሲየም ውስጥ ከአንበሶች ጋር ተዋጉ።,Glaadiatoroonni Kolooseemii keessaa leencota waliin wal lolan.,Gladiators fought lions in the Colosseum.
አንድ ደርዘን እንቁላል ስንት ነው?,Hanqaaquun daarsanni tokko meeqadha?,How much is a dozen eggs?
ቶም ከጥቂት አመታት በፊት ቦስተን ውስጥ ኖሯል።,Toom hanga waggoota muraasa duraatti Booston jiraachaa ture.,Tom lived in Boston until a few years ago.
ገናን የማይወድ ሰው አላውቅም።,Nama ayyaana qillee hin jaalanne hin beeku.,I don't know anyone who doesn't love Christmas.
ይህን ብታይ ይሻልሃል።,Kana ilaaluuf dhuftee siif wayya.,You better see this.
ምናልባት እንደገና አሻሚ ነገር ሊናገር ይችላል።,Ammas waan wal-xaxaa dubbachuu hin oolu.,Maybe he'll say something ambiguous again.
ታክሲ ልጠራህ ትፈልጋለህ።,Taaksii akkan siif waamu barbaaddaa.,You want me to call you a taxi.
ያን ባታደርጉት ቅር ትላላችሁ።,Akkas gochuu dhiisuutti ni mufattuu.,You will be disappointed if you don't do that.
ቶም በሁሉም የማርያም አልበም ውስጥ በሁሉም ስእሎች ውስጥ ነበር።,Toom suuraa albama Maariyam hunda keessa jira jechuun ni danda'ama ture.,Tom was in all the pictures in all of Mary's albums.
ቆንጆ ለስላሳ አልጋ ላይ ብቻ መተኛት እፈልጋለሁ።,Siree lallaafaa bareedaa irra ciisuu qofan barbaada.,I just want to sleep in a nice soft bed.
እሷ ካናዳዊ ነች።,Isheen lammii Kanaadaati.,She is Canadian.
ወታደሮቹ ለመታገል ድፍረት አጥተዋል።,Loltoonni hamilee lola dhaban.,The soldiers lost courage to fight.
አንድ ቀን የጥጥ ከረሜላ ማሽን እገዛለሁ።,Gaaf tokko maashinii suufii karameellaa nan bita.,One day I will buy a cotton candy machine.
ይህንን ቤት የገዛሁት ከሶስት አመት በፊት ነው።,Mana kana waggaa sadii duran bitadhe.,I bought this house three years ago.
እዚያ አቁም።,Achumatti dhaabbadhaa.,Stop there.
መቀጣት አለባቸው።,Adabamuu qabu.,They should be punished.
መንሸራተት ትችላለች።,Isheen mucucaaccuu dandeessi.,She can slide.
አትክልት ሰጠኝ።,Kuduraa naaf fide.,He gave me vegetables.
ትኩስ ነገር ለመጠጣት እፈልጋለሁ።,Waan ho'aa dhuguuf barbaada.,I want to drink something fresh.
ጥሩ ስራ አለህ።,Hojii gaarii qabda.,You have a great job.
ለምን ፎቶ አትነሳም?,Maaliif suuraa hin kaaftan?,Why don't you take a picture?
ኮንትራቶች ቀድሞውኑ ድርድር ተደርጓል።,Kontiraata irratti mariin taasifameera.,Contracts have already been negotiated.
እሱ የሙት መንፈስ ፀሃፊ ነው።,Inni barreessaa hafuuraati.,He is a ghostwriter.
እባክህ ካልሲህን አውልቅ።,shurraba caammaa kee baafadhu maaloo.,Please take off your socks.
ለምን ያህል ጊዜ መቆየት እንደምችል አላውቅም።,Hanga yoomitti turuu akkan danda'u hin beeku.,I don't know how long I can stay.
ቶም የሚኖረው በቀድሞው ቤቴ ውስጥ ነው።,Toom mana koo isa durii keessa jiraachaa jira.,Tom lives in my old house.
በሽርሽር ላይ ምን ያህል ሰወች እንደሚኖሩ አላውቅም።,Namoonni meeqa piknikii kana irratti akka argaman yaada hin qabu.,I don't know how many people will be at the picnic.
ታማኝነት የጎደለህ ነህ።,Ati amanamaa miti.,You are dishonest.
ከመጨለሙ በፊት ሁሉም ልጆች ተኝተዋል።,Ijoolleen hundi osoo hin dukkanaa'in rafan.,All the children are asleep before dark.
በጣም የሚያስቅ ነገር አልገባኝም።,Dhuguma waan akkas nama kofalchiisu naaf hin galle.,I don't understand what's so funny.
ይህ ሁሉ ግርግር እየተፈጠረ ላይ ማተኮር አልችልም።,Jeequmsa kana hunda waliin xiyyeeffachuu hin danda'u.,I can't concentrate with all this commotion going on.
ጎበዝ ፀሃፊ ለመሆን ከፈለግክ ፅሁፍን መለማመድ አለብህ።,Barreessaa gaarii ta'uu yoo barbaadde barreessuu shaakaluu qabda.,"If you want to become a good writer, you must practice writing."
ቤቴን አስይዘዋለሁ።,Mana koo ajajeen ture.,I will reserve my house.
ሁሌም ተመሳሳይ ነገር በመስማቴ ታምሜአለሁ።,Yeroo hunda waanuma tokko dhaga'uun na dhukkubsa.,I'm sick of hearing the same thing over and over again.
ያ መፅሃፍ ነው።,Sun kitaabadha.,That's a book.
ቶም ገና ከእረፍት ተመልሷል።,Toom reefuu boqonnaa irraa deebi'eera.,Tom has just returned from vacation.
ሌላ ነገር መሞከር አለብን።,Waan biraa yaaluun dirqama.,We have to try something else.
በእነዚህ ቀናት በጣም ብቸኝነት ይሰማኛል።,Guyyoota kanatti baay'ee kophummaan natti dhagahama.,I feel so lonely these days.
እስከ እኩለ ቀን ድረስ አልመጣም።,Hanga walakkaa guyyaatti hin dhufne.,He didn't come until noon.
ከጓደኞቸ አንድም አላጋጠመኝም።,Hiriyyoota koo tokkollee wal hin argine.,I never met any of their friends.
በእውነት መሄድ ካልፈለገ መሄድ የለበትም።,"Yoo dhuguma deemuu hin barbaanne ta'e, deemuu hin qabu.","If he really doesn't want to go, he shouldn't go."
ቶም እንደ ሳንታ ለብሷል።,Toom akka Saantaa uffatee jira.,Tom is dressed as Santa.
ታላቅ ወንድሜ የቤት ስራውን በፍጥነት ጨረሰ።,Obboleessi koo guddaan hojii manaa isaa baayyee dafee xumure.,My older brother finished his homework quickly.
እንደገና ቶምን ሳምኩት።,Ammas Toomiin dhungadhe.,I kissed Tom again.
ሚሊየነር ብሆን እመኛለሁ።,Osoon miliyeenara ta'ee natti tola.,I wish I was a millionaire.
የቡልጋሪያውን ፔፐር ወደ ሁለት ኢንች ቁርጥራጮች ይቁረጡ።,Burtukaana Buulgaariyaa gara inchii lamaatti muraa.,Cut the bell pepper into two inch pieces.
አስቀድሜ እሄዳለሁ።,Dursee nan deema.,I'm already going.
ለመርዳት ለምን ተስማማህ?,Maaliif gargaaruuf walii galte?,Why did you agree to help?
ዛሬ በጣም አስቸጋሪ ጊዜ እያሳለፍኩ ነው።,Har'a yeroo baay'ee rakkisaa ta'ee dabarsaan jira.,I am having a very difficult time today.
ነገ ወደ ፊልሞች አልሄድም።,Boru fiilmii hin deemu.,I'm not going to the movies tomorrow.
እዚህ ፈረንሳይኛ መናገር የሚችለው ቶም ብቻ ነው ብለው ያስባሉ።,Dhuguma asitti kan afaan Faransaayii dubbachuu danda'u Toom qofa sitti fakkaataa.,They think that only Tom can speak French here.
ቶም ተስፋ አልቆረጠም።,Toom gonkumaa abdii hin kutanne.,Tom didn't give up.
ቶም ሰኞን አነሳ።,Toom wiixata fuudhe.,Tom picked up Monday.
ለተወሰነ ጊዜ ቤት አልነበርኩም።,Yeroo muraasaaf mana hin geenye.,I haven't been home for a while.
ቶም ከጥቂት ቀናት በፊት ስራውን እንደጨረሰ ለማርያም ነገራት።,Toom guyyoota muraasa dura hojii kana akka xumure Maariyaamitti hime.,Tom tells Mary that he finished his work a few days ago.
በዚህ አረፍተ ነገር አነጋገር ደስተኛ አይደለሁም።,Jechoota hima kanaatti guutummaatti hin gammadu.,I am not happy with the wording of this sentence.
ማርያም ክፍሏ ውስጥ እያጠናች ነው።,Maariyaam kutaa ishee keessatti barachaa jirti.,Mary is studying in her room.
ቶም የማርያም ባል የቅርብ ጓደኛ ነው።,Toom hiriyyaa dhiyoo abbaa warraa Maariyamidha.,Tom is Mary's husband's best friend.
ለአሁን ደህና ነኝ።,Ammaaf gaarii dha.,I'm fine for now.
በቸዝ የተሻለ መሆን እፈልጋለሁ።,Cheezii irratti fooyya'uu barbaada.,I want to be better at cheese.
አንዳንድ ጊዜ ይቅርታ ለመጠየቅ በጣም ዘግይቷል።,Yeroo tokko tokko dhiifama gaafachuuf yeroon isaa darba.,Sometimes it's too late to apologize.
በባህር ዳርቻ ላይ መራመድ እወዳለሁ።,Qarqara galaanaa irra deemuu nan jaalladha.,I like to walk on the beach.
ለምን ተቃወሙት?,Maaliif sagalee mormii kennite?,Why are you against it?
ፒያኖ አለኝ።,Piyaanoo qaba.,I have a piano.
ፈረንሳይኛ መናገር አልፈልግም ነበር።,Afaan Faransaayii dubbachuu hin barbaanne.,I didn't want to speak French.
የቀረው የት ነው?,Kan hafe eessa jira?,Where is the rest?
ታሞ ለመደወል ተፈተነኝ።,Dhukkubsataadhaan bilbiluuf qorameera.,I was tempted to call in sick.
ቶም እንደሚያሸንፍ እርግጠኛ ነው።,Toom injifachuun isaa hin oolu.,Tom is sure to win.
ሱሽ ይወዳሉ።,Sushi ni jaallattuu.,They like sushi.
ቶም የማይመች ጥያቄ ጠየቀ።,Toom gaaffii namatti hin tolle tokko gaafate.,Tom asked an awkward question.
ደስተኛ አደርግሃለሁ።,Si gammachiisa.,I will make you happy.
ከምወዳቸው ፊልሞች ውስጥ አንዱ ነው።,Fiilmii ani baay'ee jaalladhu keessaa tokko dha.,It's one of my favorite movies.
ቶም ብልጭ ድርግም አለ።,Toom ija isaa jaamse.,Tom blinked.
ኧረ አንድ ነገር ልንገርህ።,Heey mee waa tokkon sitti hima.,"Oh, let me tell you something."
ቶም ትምህርት ቤት ዘለለ።,Toom mana barumsaa darbe.,Tom skipped school.
አሁን ያንን መገንዘብ አለብህ።,Ammatti kana hubachuu qabda.,Now you have to realize that.
ቶም ልጆች አሉት።,Toom ijoollee qaba.,Tom has children.
ከባድ ውድድር ነበር።,Dorgommii cimaa ture.,It was a tough competition.
እንደ ተነገረኝ አደረግሁ።,Akkuma natti himame godhe.,I did as I was told.
እርስወ እንድወስኑ ነው።,Akka isin murteessitan.,It is for you to decide.
ምንም አይነት ጥያቄ አይጠይቁ።,Gaaffii tokkollee hin gaafatinaa.,Do not ask any questions.
ምን እንደተፈጠረ አሁን አወቅሁ።,Waan ta'aa jiru amman bare.,Now I know what happened.
ከዚህ በኋላ እንደማታደርግ ቃል ገብተሃል።,Kana booda akkas akka hin goone waadaa galte.,You promised you wouldn't do it again.
ወፍ መመልከት ትወዳለች።,Simbirroota ilaaluu ni jaallatti.,She likes bird watching.
ቶም አሁንም ብቸኛ ነው ወይ ብየ አስባለሁ።,Toom ammallee kophaa ta'ee jiraa jedheen yaada.,I wonder if Tom is still lonely.
የምርመራወ ውጤት በጣም ጥሩ ነው።,Bu'aan qormaata keessanii baayyee gaarii dha.,ERROR: The read operation timed out.
ወላጆቻችንን መንከባከብ አለብን።,Warra keenya ilaaluu qabna.,We have to take care of our parents.
ማንም ትኩረት አልሰጣትም።,Namni xiyyeeffannoo isheef kennu hin turre.,No one paid any attention to her.
ቶም በእርግጠኝነት ፖሊስ ከሰጠን መግለጫ ጋር ይስማማል።,Toom ibsa poolisiin nuuf kenne kanaan awalii gala.,Tom certainly agrees with the description the police gave us.
ጊታርህ ከእኔ ይበልጣል።,Giitaarri kee kan koo caala.,Your guitar is better than mine.
ምን ለማለት እንደፈለክ ገባኝ።,Waan jechuu barbaadde naaf galeera.,I understand what you mean.
ሁልጊዜ ያልሙትን ቤት መግዛት ከቻሉስ።,Mana yeroo hunda abjoottu sana osoo bitachuu dandeessee hoo.,What if you could buy the house you always dreamed of.
መኪናየ በጎዳናው ላይ ቆሟል።,Konkolaataan koo karaa irra dhaabatee jira.,A car is parked on the street.
ከጠረጴዛው ስር ድመት አለ።,Minjaala jala adurreen jiraa.,There is a cat under the table.
እኔ ራሴ የሰራሁት ይህ የውሻ ቤት ነው።,Kun mana saree ani ofii kootii tolchedha.,This is a dog house that I made myself.
እኔ እምለው የነገርኩህ እውነት ነው።,Wanni sitti hime dhugaadha.,I swear what I told you is true.
ደም አፋሳሹ የአውሮፓ ግጭት አብቅቷል።,Waldhabdeen Awurooppaa dhiiga dhangalaase xumurame.,The bloody European conflict was over.
ምላሱን ተወጋ።,Arraba isaa waraane.,He pierced his tongue.
በረዶው መውደቁን ቀጠለ።,Cabbiin bu'uu itti fufe.,The snow continued to fall.
እኔ ለአንተ በጣም አርጅቻለሁ ብለህ ታስብ ይሆናል ነገር ግን ለእኔ በጣም ትንሽ ነህ ብየ አላስብም።,"Tarii anarra dulloomte jettee yaadda ta'a, garuu ati anarra xiqqaadha jedhee hin yaadu.","You may think I'm too old for you, but I don't think you're too young for me."
መኪናውን የሚነዳው ወጣት ሰክሮ ነበር።,Dargaggeessi konkolaataa oofaa ture machaa'ee ture.,The young man driving the car was drunk.
ጥቁሩ ጃንጥላ የቶም ነው።,Dibaabeen gurraachi kan Toomii ti.,The black umbrella is Tom's.
ምን እያልክ ነው ቶም?,Maal jechaa jirta Toom?,"What are you saying, Tom?"
ሁሉም ተማሪወች ይገኛሉ።,Barattoonni hundi ni argamu.,All students are present.
የመማሪያ መፅሃፎቸን የሆነ ቦታ ትቸዋለሁ።,Kitaaba barnootaa koo bakka tokkotti dhiiseen ture.,I leave the textbooks somewhere.
በሚያሽከረክሩበት ጊዜ ሙዚቃ ያዳምጣሉ።,Osoo konkolaataa oofaa jiranii muuziqaa ni dhaggeeffattuu.,They listen to music while driving.
በቂ ገንዘብ ሰጥተሀኛል።,Duraanis maallaqa gahaa naaf kenniteetta.,You gave me enough money.
አንተን ለመርዳት ፍላጎት የለኝም።,Si gargaaruuf fedha hin qabu.,I am not interested in helping you.
ህይወት በጣም አጭር ነች።,Jireenyi baay'ee gabaabdudha dha.,Life is too short.
በአንተ እንደ ባሪያ መቆጠር አልፈልግም።,Siin akka garbaatti ilaalamuu nan dide.,I don't want to be treated as a slave by you.
ቁርስ የሚቀርበው መቸ ነው።,Cireen yoom dhihaata.,Breakfast is served.
ከቤቱ ጋር መለያየት ነበረበት።,Mana isaa irraa adda bahuu qaba ture.,He had to part with the house.
ለምንድን ነው ሁሉም ሰው በጣም ደስተኛ የሆነው?,Maaliif namni hundi akkas gammada?,Why is everyone so happy?
ቶም ለማርያም ነገረችው።,Toom Maariyamitti hime.,Tom told Mary.
ውሻየ በእግር መሄድ ያስፈልገዋል።,Saree koo miilan deemuu barbaada.,A dog needs to be walked.
በታሪኩ እንባ ተናነቀች።,Seenaa kanaan imimmaan ishee dhangalaaste.,She was moved to tears by the story.
እኔና ሜሪ ጥሩ ጓደኞች ሆንን።,Aniifi Maariyaam hiriyaa gaarii taane.,Mary and I became good friends.
ያ የእኛ ስራ አይደለም።,Sun hojii keenya miti.,That's not our job.
